tradedate,Client ,turnover,brokerage,IBT 10
,TB73319,1241820,,121.52
,TB73702,86346.3,,8.45
,TB73900,51811.25,,121.01
,TB74178,344304.3,,34.43
,TB76446,521,,0.06
,TB76670,710469.5,,71.06
,TB76800,627481.85,,56.09
,TB77188,286984,,66.82
,TB77485,3846.4,,0.38
,TB78363,445146,,44.04
,TB78579,38794.55,,3.88
,TB78904,2437.5,,20
,TB79550,221490,,22.15
,TB81599,36100,,3.61
,TB82484,34712,,3.13
,TB82698,18495,,20
,TB82791,26026.6,,2.6
,TB82888,4120,,0
,TB83846,4055.25,,0.4
,TB87736,562380.75,,56.25
,TB88759,1229.95,,0
,TB89647,1479225,,40
,TB90850,81340,,5.4
,TB91582,18900,,20
,TB91957,46445,,4.64
,TB93133,4584,,0
,TB93144,22687.5,,2.26
,TB94003,20637,,1.71
,TB96990,7080,,20
,TB97122,2100,,0
,TB98224,1203950,,120.39
,TB98476,199855,,19.99
,TB99187,2355535,,80
,TB99367,16962,,80
,TB99424,508186.75,,50.82
