AccountCode,COCD1,MONTHNAME,VoucherDate,TradeDate,Vr No.,Narration,Ledger,BRS,Chq No,Debit,Credit,Running Bal.
TB39049,ALL,Jan-19,1/21/2019,1/21/2019,BR13271922,NSE_CASH BEING FUND REC THRG ATOM TB390,HDFC3304,Y,240542,,450000,450000
TB40244,ALL,Jan-19,1/21/2019,1/21/2019,BR13271923,NSE_CASH BEING FUND REC THRG ATOM TB402,HDFC3304,Y,240481,,500,500
TB40856,ALL,Jan-19,1/21/2019,1/21/2019,BP06549738,NSE_CASH PAYOUT PAID BY API,YESB0919,Y,783,6651.54,,-6651.54
TB41791,ALL,Jan-19,1/21/2019,1/21/2019,BR06928425,MCX BEING FUND REC THRG ATOM30003021101,HDFC3193,Y,211012,,2500,2500
TB46225,ALL,Jan-19,1/21/2019,1/21/2019,BR13271924,NSE_CASH BEING FUND REC THRG ATOM TB462,HDFC3304,Y,232634,,2000,2000
TB46225,ALL,Jan-19,1/21/2019,1/21/2019,BR13271925,NSE_CASH BEING FUND REC THRG ATOM TB462,HDFC3304,Y,209112,,2000,4000
TB50932,ALL,Jan-19,1/21/2019,1/21/2019,BP22349643,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,796,20000,,-20000
TB51870,ALL,Jan-19,1/21/2019,1/21/2019,BP22349642,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999252,991.74,,-991.74
TB52705,ALL,Jan-19,1/21/2019,1/21/2019,BR13271926,NSE_CASH BEING FUND REC THRG ATOM TB527,HDFC3304,Y,198735,,5000,5000
TB52807,ALL,Jan-19,1/21/2019,1/21/2019,BR08971728,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,896768,,5100,5100
TB53057,ALL,Jan-19,1/21/2019,1/21/2019,BP22349641,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,334,8860.62,,-8860.62
TB54195,ALL,Jan-19,1/21/2019,1/21/2019,BR13271927,NSE_CASH BEING FUND REC THRG ATOM TB541,HDFC3304,Y,196150,,84000,84000
TB54973,ALL,Jan-19,1/21/2019,1/21/2019,BR07571736,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,189311,,3000,3000
TB56200,ALL,Jan-19,1/21/2019,1/21/2019,BR06928427,MCX BEING FUND REC THRG ATOM30003019183,HDFC3193,Y,191832,,5000,5000
TB56200,ALL,Jan-19,1/21/2019,1/21/2019,BR06928426,MCX BEING FUND REC THRG ATOM30003023007,HDFC3193,Y,230070,,2000,7000
TB59286,ALL,Jan-19,1/21/2019,1/21/2019,BR11971789,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,951394,,2500,2500
TB59590,ALL,Jan-19,1/21/2019,1/21/2019,BR06928428,MCX BEING FUND REC THRG ATOM30003021636,HDFC3193,Y,216369,,33500,33500
TB62409,ALL,Jan-19,1/21/2019,1/21/2019,BR29572325,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,532531,,500,500
TB62594,ALL,Jan-19,1/21/2019,1/21/2019,BR13271928,NSE_CASH BEING FUND REC THRG ATOM TB625,HDFC3304,Y,197973,,70,70
